OBJECTID,Boro,Type,Provider,Lat,Long_,Location_T,City
918,QU,Limited Free,Time Warner Cable,40.75797,-73.825241,Outdoor TWC Aerial,Queens
919,QU,Limited Free,Time Warner Cable,40.75858,-73.825078,Outdoor TWC Aerial,Queens
920,BK,Limited Free,Time Warner Cable,40.696675,-73.997656,Outdoor,Brooklyn
921,BK,Limited Free,Time Warner Cable,40.696989,-73.997486,Outdoor,Brooklyn
922,BK,Limited Free,Time Warner Cable,40.697344,-73.997333,Outdoor,Brooklyn
923,BK,Limited Free,Time Warner Cable,40.697669,-73.997183,Outdoor,Brooklyn
924,BK,Limited Free,Time Warner Cable,40.698103,-73.996944,Outdoor,Brooklyn
925,BK,Limited Free,Time Warner Cable,40.696732,-73.990349,Outdoor,Brooklyn
926,MN,Limited Free,Time Warner Cable,40.749908,-74.00089,Outdoor,New York
927,MN,Free,NYPL,40.7154881544,-74.0162138359,Library,New York
928,BK,Free,BPL,40.605690343,-73.9862316255,Library,Brooklyn
929,BK,Free,BPL,40.6230645344,-73.9894467672,Library,Brooklyn
930,MN,Limited Free,Time Warner Cable,40.749783,-74.000711,Outdoor,New York
931,MN,Limited Free,Time Warner Cable,40.74827,-74.002068,Indoor,New York
932,MN,Limited Free,Time Warner Cable,40.74827,-74.002068,Indoor,New York
933,MN,Limited Free,Time Warner Cable,40.74827,-74.002068,Indoor,New York
934,MN,Limited Free,Time Warner Cable,40.74827,-74.002068,Indoor,New York
935,MN,Limited Free,Time Warner Cable,40.74827,-74.002068,Indoor,New York
936,MN,Limited Free,Time Warner Cable,40.712307,-74.006961,Outdoor,New York
937,MN,Limited Free,Time Warner Cable,40.70935,-74.009903,Outdoor,New York
938,SI,Limited Free,Time Warner Cable,40.618064,-74.108186,Outdoor,Staten Island
939,QU,Free,QPL,40.7078731318,-73.7946780399,Library,Jamaica
940,QU,Free,QPL,40.7129435708,-73.8808642734,Library,Middle Village
941,QU,Free,QPL,40.7429309465,-73.8251699639,Library,Flushing
942,MN,Free,NYPL,40.8030181614,-73.9348475633,Library,New York
943,BK,Free,BPL,40.6723435263,-73.9682243829,Library,Brooklyn
944,BK,Free,BPL,40.645912124,-74.0136300012,Library,Brooklyn
945,MN,Free,NYPL,40.7942156129,-73.9434510796,Library,New York
946,BK,Free,BPL,40.6873790941,-73.966030666,Library,Brooklyn
947,MN,Free,Manhattan Down Alliance,40.7071990996,-74.0037002996,Outdoor,New York
948,MN,Free,Manhattan Down Alliance,40.7070998997,-74.0036011004,Outdoor,New York
949,MN,Free,Manhattan Down Alliance,40.7070006997,-74.0035019003,Outdoor,New York
950,MN,Free,Manhattan Down Alliance,40.7066001999,-74.0031966998,Outdoor,New York
951,MN,Free,Manhattan Down Alliance,40.7051010003,-74.0026015994,Outdoor,New York
952,MN,Free,Manhattan Down Alliance,40.7047997001,-74.0022963999,Outdoor,New York
953,MN,Free,Manhattan Down Alliance,40.7070998998,-74.0049973006,Outdoor,New York
954,MN,Free,Manhattan Down Alliance,40.7065010001,-74.0045012998,Outdoor,New York
955,MN,Free,Manhattan Down Alliance,40.7062988002,-74.0061035001,Outdoor,New York
956,MN,Free,Manhattan Down Alliance,40.7048987998,-74.0093001995,Outdoor,New York
957,MN,Free,Manhattan Down Alliance,40.7047004998,-74.0089035001,Outdoor,New York
958,MN,Free,Manhattan Down Alliance,40.7047004998,-74.0083008003,Outdoor,New York
959,MN,Free,Chelsea,40.7445703086,-74.0045885368,Outdoor,New York
960,MN,Free,Chelsea,40.7431927759,-74.0073877576,Outdoor,New York
961,MN,Free,Chelsea,40.7425912548,-74.005064964,Outdoor,New York
962,MN,Free,Chelsea,40.7418393463,-74.0032571552,Outdoor,New York
963,MN,Free,Chelsea,40.7427538286,-74.0076720715,Outdoor,New York
964,MN,Free,Chelsea,40.7394860202,-74.0062665941,Outdoor,New York
965,MN,Free,Chelsea,40.7444079933,-74.0066367391,Outdoor,New York
966,MN,Free,Chelsea,40.7426075127,-74.0042603013,Outdoor,New York
967,MN,Free,AT&T,40.7474,-74.0051,Outdoor,New York
968,MN,Free,Chelsea,40.7424774535,-74.0029621124,Outdoor,New York
969,MN,Free,Chelsea,40.7422986209,-74.0007090572,Outdoor,New York
970,MN,Free,Chelsea,40.7436967487,-74.007017612,Outdoor,New York
971,MN,Free,Chelsea,40.7415548385,-74.0011113879,Outdoor,New York
972,MN,Free,Chelsea,40.741900312,-74.0018570427,Outdoor,New York
