OBJECTID,BORO,TYPE,PROVIDER,LAT,LON,LOCATION_T,CITY
723,BK,Free,Downtown Brooklyn,40.693721,-73.983328,Outdoor,Brooklyn
724,BK,Free,Downtown Brooklyn,40.69335,-73.985788,Outdoor,Brooklyn
725,BK,Free,Downtown Brooklyn,40.69335,-73.985788,Outdoor,Brooklyn
726,BK,Free,Downtown Brooklyn,40.69335,-73.985788,Outdoor,Brooklyn
727,BK,Free,Downtown Brooklyn,40.686371,-73.978541,Outdoor,Brooklyn
728,BK,Free,Downtown Brooklyn,40.686371,-73.978541,Outdoor,Brooklyn
729,BK,Free,Downtown Brooklyn,40.692723,-73.983025,Outdoor,Brooklyn
730,BK,Free,Downtown Brooklyn,40.692723,-73.983025,Outdoor,Brooklyn
731,BK,Free,Downtown Brooklyn,40.690406,-73.983931,Outdoor,Brooklyn
732,BK,Free,Downtown Brooklyn,40.690406,-73.983931,Outdoor,Brooklyn
733,BK,Free,Downtown Brooklyn,40.692087,-73.982587,Outdoor,Brooklyn
734,BK,Free,Downtown Brooklyn,40.692087,-73.982587,Outdoor,Brooklyn
735,BK,Free,Downtown Brooklyn,40.69189,-73.982488,Outdoor,Brooklyn
736,BK,Free,Downtown Brooklyn,40.69189,-73.982488,Outdoor,Brooklyn
737,BK,Free,Downtown Brooklyn,40.693625,-73.988519,Outdoor,Brooklyn
738,BK,Free,Downtown Brooklyn,40.693636,-73.988347,Outdoor,Brooklyn
739,BK,Free,Downtown Brooklyn,40.693636,-73.988347,Outdoor,Brooklyn
740,BK,Free,Downtown Brooklyn,40.693636,-73.988347,Outdoor,Brooklyn
741,BK,Free,Downtown Brooklyn,40.693636,-73.988347,Outdoor,Brooklyn
742,BK,Free,Downtown Brooklyn,40.693636,-73.988347,Outdoor,Brooklyn
743,BK,Free,Downtown Brooklyn,40.693636,-73.988347,Outdoor,Brooklyn
744,BK,Free,Downtown Brooklyn,40.693636,-73.988347,Outdoor,Brooklyn
745,BK,Free,Downtown Brooklyn,40.69401,-73.986706,Outdoor,Brooklyn
